"Name","Latitude","Longitude"
"Akhepura","27.508121","75.344381"
"Jaladhulagori toll plaza","22.573188","88.181679"
"Manguli","20.540387","85.96387"
"BANSKOPA","23.4916993","87.37686234"
"Paranur","12.723887","79.981917"
"Charoti","19.890544","72.942644"
"Mahuvan","27.337188","77.737458"
"Koralphad","17.159784","79.475426"
"Thirya Khetal","28.480289","79.283886"
"Kalaparru","16.676408","81.022129"
"Bhagwada","20.43495","72.917204"
"Landhari","29.2923756","75.6459393"
"Srinagar","28.00548","77.332377"
"Khaniwade","19.519667","72.916898"
"Manoharpur","27.3056399","75.9535128"
"Ahmedpur","26.858351","81.422451"
"Shahjahanpur","27.99978","76.430522"
"Kaza","16.3856","80.53367"
"Kishangarh","26.595329","74.939169"
"Mohtara","23.4868546","80.0964068"
"Lechchumanapatti","10.624233","78.747631"
"Saliwada","23.108205","80.001234"
"Manhth maniyari","26.0387944","85.4475413"
"Khanna","25.543293","80.060095"
"Kannole","17.397114","76.6364212"
"Gumanpura","25.99277","75.93845"
"vanagari","15.819341","76.174865"
"Pullurpandiapuram","8.862935","78.117106"
"maithon","24.322069","78.526217"
"Dan","20.961278","70.334386"
"Khambara","21.6937297","78.3900797"
"Bann","32.838928","74.940536"
"Nekawala","27.242389","76.0639"
"Kelapur","20.019318","78.540218"
"Nadiad","22.696475","72.896397"
"Husnapur","20.5512","78.301089"
"Nimbhi Jodhan","27.53346","74.344084"
"Jasnath Nagar","26.6175741","72.9777825"
"Km 283.500 near shahapur vill. Koppal","15.357898","76.312781"
"Chhara","28.712879","76.724937"
"Daroda","20.450625","78.755243"
"Rangali Bazna","26.68477778","89.23083333"
"Bijapur","16.786741","75.739648"
"Nuruddinpur","26.035992","81.43806"
"Dolhu Nallah","31.2481619","75.483497"
"Srirampur","26.7473","75.7686"
"Vighakhet","24.789578","78.448855"
"Ramnagar","25.726413","81.92581"
"Odaki Pipkhar","24.593492","81.2986"
"Pippalwada","19.781093","78.565772"
"Govindpur","25.5899165","85.875775"
"Badighati","26.5475364","74.5069619"
"Konetipuram","18.02173544","79.5"
"Uthamam","12.8616039","80.1718917"
"Salasar","28.003871","73.11499"
"Laxmanath","13.193545","77.64981"
"Keesara","17.310012","78.385202"
"Bhagan","23.912345","71.783983"
"Milanpur","21.8636943","77.9571605"
"MANSAR/Khumari","21.382312","79.25332"
"Harimma","27.2553568","73.8398793"
"Holegadde","14.3594475","74.4184843"
"Amdi","26.369652","82.886172"
"Paind","29.623442","76.784786"
"Thimmalapura","15.05737","76.3569"
"Dhank","21.227203","82.42025"
"Surjapur","25.933558","87.843381"
"Hasanpurin","21.14661","86.1173884"
"Chuhipali","21.299821","82.942781"
"Allonia","22.269666","79.545141"
"Vaiguntham","11.513282","77.923946"
"Malera/Pindwara","24.712368","73.093755"
"Barkheda","28.594353","73.810058"
"Pipalaz","26.158577","74.371572"
"Basapuram","22.34462627","87.12665241"
"Deoria","28.930637","79.475637"
"Kannankatte","14.5381","76.4269"
"Rohad Toll Plaza","28.754563","76.795216"
"Ashiv","18.1278333","76.3583021"
"Barajod (earlier Sikandara)","26.3854208","80.018945"
"Babina","25.216966","78.464471"
"Hadwa","25.3788756","82.1567207"
"Raikal","17.005867","78.194493"
"Titoli","26.7704556","76.3391978"
"Bassi Vil.","25.033192","74.816392"
"Nawabganj","28.45428","79.437658"
"Shadol","18.947388","73.178849"
"Krishnagiri","12.544583","78.201132"
"Dighal Toll Plaza","28.776746","76.621688"
"Gulalpurva","27.8268581","81.525451"
"Didarganj","25.5769143","85.2424206"
"Mohammad Ibrahimpur","28.5711585","78.7965853"
"Boriach","20.885548","73.052162"
"Eliyarpatti","9.78299","78.094492"
"Buchireddypalem","14.543497","79.862213"
"Pargaon","12.9564","80.2412"
"Bellupada","19.111282","84.699281"
"Milkmajara","30.2117","77.19388"
"Kulumepalya","13.114638","77.37463"
"Muziana Hetim","26.733855","83.808555"
"Vaniyambadi","12.648554","78.5833"
"Dakshinashekhpur","26.483661","81.09886"
"Vasad","22.453302","73.070523"
"Pottipudu","16.572341","80.862502"
"Chokenahalli","13.302065","77.161956"
"Kokpara","22.4459665","86.5983467"
"KN Huindy","12.9194122","77.4686378"
"Tundla","27.218247","78.272821"
"Shibpur Plaza","24.150449","88.18629"
"Sengurichi","11.706434","79.322335"
"Vemapadu","17.397831","82.67582"
"Karajeevanahally","13.612918","76.953866"
"Badava","16.8503326","80.6335241"
"Panikholi","20.897746","86.21625"
"Rupa Kheda","24.82583","74.628778"
"Bhavdeen","29.5326385","75.2009966"
"Semri","26.996524","78.777334"
"AGANAMPUDI","17.685435","83.149931"
"Bharudi","21.805381","70.663976"
"Birindawan","21.7096842","85.5834615"
"IDTL Toll PlazaA-","22.8226969","75.9360193"
"Chaukadi","26.781298","82.417008"
"Hebbalu","14.375564","76.106875"
"Rashidpura","27.726086","75.075979"
"Rojwas","23.3306354","76.1757945"
"Madina Toll Plaza","28.9374978","76.3981516"
"Jogipura Toll Plaza","24.0875232","76.9848838"
"Pullur","15.887742","78.016978"
"Gadoi","21.425234","70.295437"
"Vadodara","22.413798","73.149308"
"Chennasamudram","12.910943","79.40121"
"Anantram","26.594931","79.268034"
"Gondkhairi","21.137001","78.89666"
"Kirasave","12.958304","76.623563"
"Negadiya","24.7998229","73.7603221"
"Rabawata","26.5004499","75.9983801"
"Kadthal","16.970404","78.50755"
"Baswant","20.141754","73.9764485"
"Kini","23.768876","80.334978"
"Gangapada Gudipada","20.203404","85.668312"
"Sawaleshwar Toll Plaza","17.7643864","75.7558759"
"Davuluru","16.4125284","80.7880218"
"Veeracholapuram","11.736464","79.010409"
"Rasoiya Dhamna","24.3234","85.3881"
"Vijayamangalam","11.245714","77.519702"
"Dagrai","25.6158907","78.4787578"
"Omallur","11.72034","78.07338"
"Madrak","27.803992","78.087073"
"Bhiknoor","18.20539","78.398299"
"Indalwai","18.538284","78.239718"
"Daulatpura","27.0868994","75.8345568"
"Gajol","25.648871","25.648871"
"Chillakallu","16.885015","80.160654"
"Shanthigrama","19.09779","73.071728"
"Luharli","28.499246","77.627269"
"Beliyad toll plaza","23.763627","86.79803"
"Debra toll plaza","22.397144","87.522855"
"Khed-Shivapur","18.3313849","73.8525197"
